issue_date,target_ts,y_true,y_tso,lstm_p10,lstm_p50,lstm_p90,xgb_p10,xgb_p50,xgb_p90
2025-12-17,2025-12-17 09:30:00+00:00,17160.64,17339.79,16426.168540039063,17259.79895690918,17924.110556640626,17057.478262939454,17388.441889801026,18083.27828125
2025-12-17,2025-12-17 09:45:00+00:00,17099.46,17352.34,16437.995029296875,17266.58821472168,17951.540622558594,16967.846927490235,17370.098626937866,18014.999912109375
2025-12-17,2025-12-17 10:00:00+00:00,17114.78,17507.9,16589.035864257814,17412.846937561037,18126.245947265626,16897.241735839845,17303.207891845705,18036.26053466797
2025-12-17,2025-12-17 10:15:00+00:00,17140.95,17463.03,16542.047944335936,17362.31527832031,18093.011140136718,16729.67599609375,17145.84201171875,17844.561341552733
2025-12-17,2025-12-17 10:30:00+00:00,17073.67,17488.86,16564.965407714844,17381.859671936036,18129.39125,16747.17005859375,17163.59245239258,17808.606673583985
2025-12-17,2025-12-17 10:45:00+00:00,16964.26,17527.08,16600.49784667969,17413.34914215088,18176.99149902344,16793.145551757814,17178.107770996095,17901.088209228517
2025-12-17,2025-12-17 11:00:00+00:00,16914.34,17339.36,16391.250258789063,17212.814025268555,17987.285537109376,16696.986220703126,17124.862197265626,17847.273452148438
2025-12-17,2025-12-17 11:15:00+00:00,16696.78,17400.31,16434.215334472658,17262.556398925783,18051.91095214844,16684.430361328126,17115.0258203125,17872.872408447267
2025-12-17,2025-12-17 11:30:00+00:00,16783.31,17300.86,16323.295424804688,17152.62611328125,17954.95246826172,16798.02748046875,17178.9742578125,17812.16682373047
2025-12-17,2025-12-17 11:45:00+00:00,16709.4,17370.69,16382.875729980467,17211.881833496092,18027.804501953124,16770.653317871092,17221.532346191405,17858.581693115233
2025-12-17,2025-12-17 12:00:00+00:00,16677.1,17233.16,16238.28841796875,17067.76739135742,17893.691311035156,16686.31399169922,17098.74171081543,17729.74380126953
2025-12-17,2025-12-17 12:15:00+00:00,16597.74,17127.87,16128.929936523436,16961.150029296874,17788.538395996093,16572.460209960936,16875.348713989257,17509.955815429686
2025-12-17,2025-12-17 12:30:00+00:00,16462.46,16972.43,15972.049934082032,16805.023994140625,17632.34912841797,16463.223701171875,16831.349387817383,17500.47913330078
2025-12-17,2025-12-17 12:45:00+00:00,16384.65,16896.9,15895.492773437501,16729.201879882814,17556.119482421876,16359.616430664064,16719.203619384767,17395.641851806642
2025-12-17,2025-12-17 13:00:00+00:00,16327.61,16819.16,15816.023464355469,16661.734432373047,17478.1883203125,16351.98846069336,16741.80596557617,17450.647182617187
2025-12-17,2025-12-17 13:15:00+00:00,16337.27,16654.74,15652.692941894533,16505.270426025392,17316.238352050783,16308.788461914064,16670.188229789735,17352.21546386719
2025-12-17,2025-12-17 13:30:00+00:00,16363.25,16551.27,15551.600017089844,16408.618571777344,17215.447490234375,16213.107463378907,16532.408832092286,17221.57810546875
2025-12-17,2025-12-17 13:45:00+00:00,16315.6,16599.09,15601.17251953125,16461.669040527344,17266.772250976563,16283.985141601563,16539.248645629883,17279.83530029297
2025-12-17,2025-12-17 14:00:00+00:00,16406.02,16572.89,15585.056381835937,16452.96070159912,17248.7210546875,16395.377564086913,16636.70900024414,17344.60270751953
2025-12-17,2025-12-17 14:15:00+00:00,16473.94,16531.7,15554.498278808594,16425.781932067872,17216.881701660157,16380.1764251709,16655.641513061524,17318.524340820313
2025-12-17,2025-12-17 14:30:00+00:00,16513.69,16575.8,15607.517651367187,16480.967221069335,17269.36408691406,16443.757946777343,16769.246243286132,17370.86719970703
2025-12-17,2025-12-17 14:45:00+00:00,16557.73,16456.62,15498.678227539061,16372.29088317871,17156.9002734375,16372.376431579589,16727.473088378905,17251.32489501953
2025-12-17,2025-12-17 15:00:00+00:00,16684.63,16517.48,15564.751118164062,16450.701054077148,17224.471821289062,16502.889531593322,16838.973530273437,17300.45100830078
2025-12-17,2025-12-17 15:15:00+00:00,16795.18,16651.9,15705.121984863283,16599.848539733888,17368.939367675783,16796.413626098634,17112.604681396486,17527.61502685547
2025-12-17,2025-12-17 15:30:00+00:00,17003.66,16742.76,15801.899221191405,16701.958455810545,17468.27153564453,16917.24515319824,17217.584798583983,17649.771962890623
2025-12-17,2025-12-17 15:45:00+00:00,17206.97,16861.13,15924.672785644532,16828.413870697023,17593.491633300782,17062.55253112793,17371.42867553711,17854.21630371094
2025-12-17,2025-12-17 16:00:00+00:00,17267.51,17000.68,16078.765021972657,16982.90148513794,17739.328559570313,17202.98307006836,17523.079536132813,18001.15772216797
2025-12-17,2025-12-17 16:15:00+00:00,17376.22,17117.7,16205.307971191407,17108.977170181275,17863.892504882813,17272.52974243164,17547.48140258789,18034.56901855469
2025-12-17,2025-12-17 16:30:00+00:00,17491.85,17178.1,16272.275781249999,17175.62471923828,17929.329248046874,17353.722482299803,17616.508905029295,18126.125756835936
2025-12-17,2025-12-17 16:45:00+00:00,17497.43,17151.19,16249.984311523436,17153.56021255493,17905.77233642578,17297.1276373291,17575.44942993164,18043.738522949217
2025-12-17,2025-12-17 17:00:00+00:00,17470.78,17135.8,16243.736889648437,17141.67755203247,17884.224255371093,17106.798205184936,17453.20475463867,18088.61768798828
2025-12-17,2025-12-17 17:15:00+00:00,17394.22,17020.46,16133.538491210937,17030.02105041504,17765.782631835937,16893.52206512451,17272.77625366211,17921.902260742187
2025-12-17,2025-12-17 17:30:00+00:00,17303.02,17080.13,16193.253657226564,17091.2992276001,17822.069575195314,16991.740488891603,17376.077814941407,18012.64043701172
2025-12-17,2025-12-17 17:45:00+00:00,17202.6,17056.19,16168.311582031249,17068.203549804686,17794.176267089842,16994.638535919188,17373.734525146483,17995.270505371092
2025-12-17,2025-12-17 18:00:00+00:00,16989.65,16955.33,16065.203657226564,16964.25244720459,17678.97306640625,16968.56233509064,17300.32728393555,17881.58701904297
2025-12-17,2025-12-17 18:15:00+00:00,16813.04,16685.69,15793.744748535155,16693.217889251708,17401.578854980467,16680.362051429747,17067.980771484374,17572.69225830078
2025-12-17,2025-12-17 18:30:00+00:00,16665.1,16475.82,15581.041801757812,16483.976871795654,17184.72087890625,16451.259029693603,16905.444938964843,17334.02977783203
2025-12-17,2025-12-17 18:45:00+00:00,16513.45,16312.59,15414.72134765625,16322.844055023194,17015.36587890625,16271.550552215576,16648.9308203125,17166.196201171875
2025-12-17,2025-12-17 19:00:00+00:00,16298.41,16066.75,15161.588500976562,16070.770153045654,16752.60418701172,15903.47688293457,16381.899444580078,16912.16583251953
2025-12-17,2025-12-17 19:15:00+00:00,16029.58,15847.53,14936.126740722657,15847.822572021485,16523.611970214843,15710.561051635743,16309.91803100586,16702.93771484375
2025-12-17,2025-12-17 19:30:00+00:00,15787.66,15560.4,14645.12247314453,15560.615755462646,16227.485998535156,15340.818548583984,15907.110479736328,16354.363073730468
2025-12-17,2025-12-17 19:45:00+00:00,15554.28,15412.93,14493.84748046875,15414.828914337158,16072.150581054688,15269.257560424805,15823.131568603516,16203.79669921875
2025-12-17,2025-12-17 20:00:00+00:00,15315.12,15136.98,14211.096882324218,15127.492163162231,15775.415974121093,15027.76660583496,15495.906208496093,15927.499165039062
2025-12-17,2025-12-17 20:15:00+00:00,15114.01,14905.16,13974.454616699219,14889.94364944458,15530.175197753906,14910.532241020202,15307.770565185547,15766.85970703125
2025-12-17,2025-12-17 20:30:00+00:00,14924.31,14706.05,13771.96162109375,14688.401634979247,15319.188854980468,14571.886791992187,15107.005322265624,15547.69532470703
