issue_date,target_ts,is_holiday_or_weekend,y_true,naive,lstm_clip_p50,xgb50_p50,xgb47_p50
2026-03-17,2026-03-17 12:30:00+00:00,False,95.99,17.0,89.4167709350586,92.27513885498047,92.28953552246094
2026-03-17,2026-03-17 12:45:00+00:00,False,96.96,25.6,89.81694030761719,92.81200408935547,92.28953552246094
2026-03-17,2026-03-17 13:00:00+00:00,False,96.62,18.44,91.5128173828125,93.58192443847656,92.92898559570312
2026-03-17,2026-03-17 13:15:00+00:00,False,100.26,31.06,92.64183044433594,94.09125518798828,93.8956069946289
2026-03-17,2026-03-17 13:30:00+00:00,False,98.63,56.27,94.13890075683594,96.99565124511719,99.6688232421875
2026-03-17,2026-03-17 13:45:00+00:00,False,101.79,62.92,96.02861022949219,102.86935424804688,108.67315673828125
2026-03-17,2026-03-17 14:00:00+00:00,False,99.67,29.17,100.10964965820312,108.10958099365234,113.15091705322266
2026-03-17,2026-03-17 14:15:00+00:00,False,105.55,40.76,104.10721588134766,113.29818725585938,118.42731475830078
2026-03-17,2026-03-17 14:30:00+00:00,False,115.85,75.0,107.47281646728516,114.41244506835938,120.17512512207031
2026-03-17,2026-03-17 14:45:00+00:00,False,127.36,112.85,111.43598175048828,124.278564453125,128.68359375
2026-03-17,2026-03-17 15:00:00+00:00,False,111.7,53.72,116.91149139404297,114.83543395996094,114.8537826538086
2026-03-17,2026-03-17 15:15:00+00:00,False,124.41,87.99,121.69294738769531,127.54611206054688,127.58245849609375
2026-03-17,2026-03-17 15:30:00+00:00,False,136.44,130.87,127.07006072998047,140.59002685546875,145.12252807617188
2026-03-17,2026-03-17 15:45:00+00:00,False,154.56,152.26,132.85006713867188,158.15663146972656,155.21739196777344
2026-03-17,2026-03-17 16:00:00+00:00,False,128.04,98.51,139.3617401123047,143.31568908691406,149.6490478515625
2026-03-17,2026-03-17 16:15:00+00:00,False,146.71,127.53,145.10256958007812,158.1134796142578,158.42811584472656
2026-03-17,2026-03-17 16:30:00+00:00,False,163.18,148.6,150.05093383789062,171.90707397460938,174.258056640625
2026-03-17,2026-03-17 16:45:00+00:00,False,210.88,179.77,154.65597534179688,180.66993713378906,180.67552185058594
2026-03-17,2026-03-17 17:00:00+00:00,False,191.32,145.0,158.74525451660156,187.7556610107422,184.60012817382812
2026-03-17,2026-03-17 17:15:00+00:00,False,211.88,157.17,161.18565368652344,189.1092987060547,187.6487579345703
2026-03-17,2026-03-17 17:30:00+00:00,False,214.99,173.43,162.17166137695312,189.84434509277344,187.34080505371094
2026-03-17,2026-03-17 17:45:00+00:00,False,211.0,184.54,162.09959411621094,200.6583709716797,188.31582641601562
2026-03-17,2026-03-17 18:00:00+00:00,False,213.68,179.72,160.04776000976562,190.33551025390625,183.14236450195312
2026-03-17,2026-03-17 18:15:00+00:00,False,179.15,179.92,157.15472412109375,187.0846405029297,179.9355926513672
2026-03-17,2026-03-17 18:30:00+00:00,False,145.91,179.97,153.66293334960938,182.8228302001953,178.0467529296875
2026-03-17,2026-03-17 18:45:00+00:00,False,142.79,179.94,149.89523315429688,169.6876983642578,172.37774658203125
2026-03-17,2026-03-17 19:00:00+00:00,False,163.42,182.64,144.3402099609375,167.63665771484375,159.33193969726562
2026-03-17,2026-03-17 19:15:00+00:00,False,145.11,163.16,138.79600524902344,160.11170959472656,148.1326141357422
2026-03-17,2026-03-17 19:30:00+00:00,False,138.16,143.41,133.3013458251953,146.9890899658203,147.7394561767578
2026-03-17,2026-03-17 19:45:00+00:00,False,130.26,129.93,128.38653564453125,139.98306274414062,139.5836944580078
2026-03-17,2026-03-17 20:00:00+00:00,False,145.27,142.36,121.73860931396484,136.87693786621094,141.75335693359375
2026-03-17,2026-03-17 20:15:00+00:00,False,135.27,128.29,116.41958618164062,132.38577270507812,131.26441955566406
2026-03-17,2026-03-17 20:30:00+00:00,False,126.53,120.54,111.50862121582031,124.0325927734375,122.12458038330078
2026-03-17,2026-03-17 20:45:00+00:00,False,112.09,111.66,106.90841674804688,115.42622375488281,118.94315338134766
2026-03-17,2026-03-17 21:00:00+00:00,False,133.69,130.38,102.38236999511719,117.9725570678711,120.00564575195312
2026-03-17,2026-03-17 21:15:00+00:00,False,119.28,124.2,98.52957916259766,116.7481918334961,116.0492935180664
2026-03-17,2026-03-17 21:30:00+00:00,False,105.7,123.82,95.0813980102539,112.4526138305664,113.88814544677734
2026-03-17,2026-03-17 21:45:00+00:00,False,98.29,109.25,91.7327880859375,102.11788177490234,107.95136260986328
2026-03-17,2026-03-17 22:00:00+00:00,False,108.21,111.67,88.00904846191406,107.1622543334961,109.31768035888672
2026-03-17,2026-03-17 22:15:00+00:00,False,101.67,103.31,85.3791732788086,99.052001953125,102.51742553710938
2026-03-17,2026-03-17 22:30:00+00:00,False,98.12,95.0,82.89312744140625,93.59488677978516,96.14049530029297
2026-03-17,2026-03-17 22:45:00+00:00,False,93.83,89.08,80.5810546875,89.05091094970703,94.05131530761719
2026-03-18,2026-03-17 23:00:00+00:00,False,95.7,132.74,82.46443176269531,89.18923950195312,92.24659729003906
