issue_date,target_ts,y_true,naive,lstm_p10,lstm_p50,lstm_p90,xgb_p10,xgb_p50,xgb_p90,tfm_p10,tfm_p50,tfm_p90
2026-04-16,2026-04-16 19:15:00+00:00,160.43,149.58,115.27891540527344,144.48974609375,199.84153747558594,131.95912170410156,168.58456420898438,182.65660095214844,141.40792846679688,159.76235961914062,195.2562255859375
2026-04-16,2026-04-16 19:30:00+00:00,146.16,142.54,112.7016372680664,140.32101440429688,193.32113647460938,125.20783233642578,151.3572998046875,171.10780334472656,138.29605102539062,156.08949279785156,190.09783935546875
2026-04-16,2026-04-16 19:45:00+00:00,138.63,130.1,110.14570617675781,136.0922088623047,186.76148986816406,119.97359466552734,138.857421875,169.39913940429688,136.1507568359375,154.006103515625,187.80572509765625
2026-04-16,2026-04-16 20:00:00+00:00,151.44,142.94,105.56297302246094,130.66050720214844,178.14808654785156,122.99568939208984,144.4754180908203,173.9351806640625,130.09060668945312,148.3701171875,180.70184326171875
2026-04-16,2026-04-16 20:15:00+00:00,141.44,135.01,102.35377502441406,126.22956848144531,171.089111328125,119.2982406616211,136.62770080566406,169.6474609375,128.0901641845703,146.38609313964844,178.50621032714844
2026-04-16,2026-04-16 20:30:00+00:00,135.58,129.08,99.50373840332031,122.1715087890625,164.65748596191406,120.3034439086914,139.8080596923828,169.2490234375,126.17129516601562,143.27130126953125,174.44480895996094
2026-04-16,2026-04-16 20:45:00+00:00,126.58,123.71,96.91494750976562,118.35939025878906,158.7498779296875,118.86624908447266,137.08529663085938,157.95965576171875,122.47966003417969,138.1720733642578,167.05496215820312
2026-04-16,2026-04-16 21:00:00+00:00,135.0,131.73,92.68889617919922,113.94334411621094,151.2133026123047,114.61762237548828,130.07931518554688,156.2281036376953,113.73277282714844,128.08999633789062,152.7360076904297
2026-04-16,2026-04-16 21:15:00+00:00,128.68,121.91,89.81977844238281,110.70417022705078,145.63162231445312,111.47616577148438,126.16471862792969,154.48403930664062,110.51636505126953,124.13721466064453,147.1087188720703
2026-04-16,2026-04-16 21:30:00+00:00,125.85,113.17,87.46775817871094,107.9090576171875,140.889404296875,112.00066375732422,128.48915100097656,149.09677124023438,108.6190414428711,122.05596923828125,144.15777587890625
2026-04-16,2026-04-16 21:45:00+00:00,119.92,104.27,85.50070190429688,105.4449462890625,136.8520965576172,103.00897979736328,119.11203002929688,138.27391052246094,108.8007583618164,122.93025207519531,144.76795959472656
